reference,title,status,filename,source_url,bytes,notes
15,The Sydney Coordinated Adaptive Traffic System: Philosophy and Benefits,not downloaded,,,0,DOI=10.1109/T-VT.1980.23833 | https://doi.org/10.1109/t-vt.1980.23833 -> HTML without downloadable PDF | https://doi.org/10.1109/T-VT.1980.23833 -> HTML without downloadable PDF
16,Lane-Based Saturation Degree Estimation for Signalized Intersections Using Travel Time Data,not downloaded,,,0,DOI=10.1109/mits.2017.2709881 | https://doi.org/10.1109/mits.2017.2709881 -> HTML without downloadable PDF
17,A Multivariable Regulator Approach to Traffic-Responsive Network-Wide Signal Control,not downloaded,,,0,https://citeseerx.ist.psu.edu/document?doi=294f2a0643a943853213634e7a9cb9e4c88595e8&repid=rep1&type=pdf -> response was not a valid PDF (12912 bytes) | http://citeseerx.ist.psu.edu/document?doi=294f2a0643a943853213634e7a9cb9e4c88595e8&repid=rep1&type=pdf -> response was not a valid PDF (12912 bytes)
18,Optimizing Networks of Traffic Signals in Real Time: The SCOOT Method,not downloaded,,,0,DOI=10.1109/25.69966 | https://doi.org/10.1109/25.69966 -> HTML without downloadable PDF
19,Reinforcement Learning in Urban Network Traffic Signal Control: A Systematic Literature Review,downloaded,19_Reinforcement_Learning_in_Urban_Network_Traffic_Signal_Control_Systematic_Literature_Review.pdf,https://engrxiv.org/preprint/download/1611/3320/2442,13932957,valid PDF header; title-token overlap=1.00
20,A Comparison of Deep Reinforcement Learning Models for Isolated Traffic Signal Control,not downloaded,,,0,DOI=10.1109/MITS.2022.3144797 | https://doi.org/10.1109/mits.2022.3144797 -> HTML without downloadable PDF | https://doi.org/10.1109/MITS.2022.3144797 -> HTML without downloadable PDF
21,A Survey of Intelligence Methods in Urban Traffic Signal Control,not downloaded,,,0,https://citeseerx.ist.psu.edu/document?doi=bd596bf0c6d2237f1545297795a0db9762051d9b&repid=rep1&type=pdf -> response was not a valid PDF (12912 bytes) | http://citeseerx.ist.psu.edu/document?doi=bd596bf0c6d2237f1545297795a0db9762051d9b&repid=rep1&type=pdf -> response was not a valid PDF (12912 bytes)
22,A Large-Scale Traffic Signal Control Algorithm Based on Multi-Layer Graph Deep Reinforcement Learning,not downloaded,,,0,DOI=10.1016/j.trc.2024.104582 | https://doi.org/10.1016/j.trc.2024.104582 -> HTML without downloadable PDF
23,Multi-Agent Deep Reinforcement Learning for Large-Scale Traffic Signal Control,downloaded,23_Multi_Agent_Deep_Reinforcement_Learning_for_Large_Scale_Traffic_Signal_Control.pdf,https://arxiv.org/pdf/1903.04527,3300598,Verified PDF header; DOI=10.1109/TITS.2019.2901791
24,Adaptive Traffic Signal Control with Deep Reinforcement Learning and High Dimensional Sensory Inputs: Case Study and Comprehensive Sensitivity Analyses,not downloaded,,,0,DOI=10.1109/tits.2022.3179893 | https://doi.org/10.1109/tits.2022.3179893 -> HTML without downloadable PDF
25,Cooperative Traffic Signal Control Using a Distributed Agent-Based Deep Reinforcement Learning With Incentive Communication,not downloaded,,,0,DOI=10.1109/TITS.2024.3352730 | https://doi.org/10.1109/tits.2024.3352730 -> HTML without downloadable PDF | https://doi.org/10.1109/TITS.2024.3352730 -> HTML without downloadable PDF
26,Multi-Agent Deep Reinforcement Learning Collaborative Traffic Signal Control Method Considering Intersection Heterogeneity,not downloaded,,,0,DOI=10.1016/j.trc.2024.104663 | https://doi.org/10.1016/j.trc.2024.104663 -> HTML without downloadable PDF
27,Decentralized and Communication-Based Multi-Agent Traffic Signal Control Model Employing a Graph Representation for the State,not downloaded,,,0,DOI=10.1109/TITS.2025.3548945 | https://doi.org/10.1109/tits.2025.3548945 -> HTML without downloadable PDF | https://doi.org/10.1109/TITS.2025.3548945 -> HTML without downloadable PDF
