reference,title,status,filename,source_url,bytes,notes
1,"Investigating the Role of Green Transport, Environmental Taxes and Expenditures in Mitigating the Transport CO2 Emissions",publisher paywalled or no verified public copy,,,0,"DOI=10.1080/19427867.2022.2065592 | https://www.tandfonline.com/doi/pdf/10.1080/19427867.2022.2065592?download=1 -> curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403 | https://www.tandfonline.com/doi/epdf/10.1080/19427867.2022.2065592?needAccess=true -> curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403 | https://doi.org/10.1080/19427867.2022.2065592 -> curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403 | https://www.tandfonline.com/doi/pdf/10.1080/19427867.2022.2065592 -> curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403 | https://www.tandfonline.com/doi/full/10.1080/19427867.2022.2065592 -> curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403"
4,Air Pollution and Health Risks Due to Vehicle Traffic,not downloaded,,,0,"DOI=10.1016/j.scitotenv.2013.01.074 | https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4243514/pdf/nihms641926.pdf -> HTML without matching downloadable PDF | https://pmc.ncbi.nlm.nih.gov/articles/PMC4243514/pdf/nihms641926.pdf -> HTML without matching downloadable PDF | https://doi.org/10.1016/j.scitotenv.2013.01.074 -> HTML without matching downloadable PDF | https://pubmed.ncbi.nlm.nih.gov/23500830 -> HTML without matching downloadable PDF | https://www.ncbi.nlm.nih.gov/pmc/articles/4243514 -> HTML without matching downloadable PDF | https://europepmc.org/articles/pmc4243514?pdf=render -> curl: (22) The requested URL returned error: 500
curl: (22) The requested URL returned error: 500
curl: (22) The requested URL returned error: 500
curl: (22) The requested URL returned error: 500
curl: (22) The requested URL returned error: 500
curl: (22) The requested URL returned error: 500
curl: (22) The requested URL returned error: 500
curl: (22) The requested URL returned error: 500 | https://api.elsevier.com/content/article/PII:S0048969713001290?httpAccept=text/xml -> Not PDF (1820 bytes) | https://api.elsevier.com/content/article/PII:S0048969713001290?httpAccept=text/plain -> curl: (22) The requested URL returned error: 400
curl: (22) The requested URL returned error: 400
curl: (22) The requested URL returned error: 400
curl: (22) The requested URL returned error: 400
curl: (22) The requested URL returned error: 400
curl: (22) The requested URL returned error: 400
curl: (22) The requested URL returned error: 400
curl: (22) The requested URL returned error: 400 | https://linkinghub.elsevier.com/retrieve/pii/S0048969713001290 -> HTML without matching downloadable PDF"
6,The Effect of Modern Traffic Information on Braess' Paradox,downloaded,06_The_Effect_of_Modern_Traffic_Information_on_Braess_Paradox.pdf,https://arxiv.org/pdf/2011.09456,522795,"PDF verified; title overlap=1.00, similarity=0.12; DOI=10.1016/j.physa.2021.125829"
8,Traffic Management Optimization via IoT-Enhanced Cooperative Vehicle-Infrastructure Systems,publisher paywalled or no verified public copy,,,0,DOI=10.1109/JIOT.2024.3419440 | https://doi.org/10.1109/jiot.2024.3419440 -> HTML without matching downloadable PDF | http://xplorestaging.ieee.org/ielx8/6488907/10874850/10572025.pdf?arnumber=10572025 -> HTML without matching downloadable PDF | https://ieeexplore.ieee.org/document/10572025/ -> HTML without matching downloadable PDF | https://doi.org/10.1109/JIOT.2024.3419440 -> HTML without matching downloadable PDF
9,"Stop-and-Go Traffic Analysis: Theoretical Properties, Environmental Impacts and Oscillation Mitigation",publisher paywalled or no verified public copy,,,0,"DOI=10.1016/j.trb.2014.09.014 | https://doi.org/10.1016/j.trb.2014.09.014 -> HTML without matching downloadable PDF | http://www.sciencedirect.com/science/article/pii/S0191261514001684 -> curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403 | https://api.elsevier.com/content/article/PII:S0191261514001684?httpAccept=text/xml -> Not PDF (1871 bytes) | https://api.elsevier.com/content/article/PII:S0191261514001684?httpAccept=text/plain -> curl: (22) The requested URL returned error: 400
curl: (22) The requested URL returned error: 400
curl: (22) The requested URL returned error: 400
curl: (22) The requested URL returned error: 400
curl: (22) The requested URL returned error: 400
curl: (22) The requested URL returned error: 400
curl: (22) The requested URL returned error: 400
curl: (22) The requested URL returned error: 400 | https://linkinghub.elsevier.com/retrieve/pii/S0191261514001684 -> HTML without matching downloadable PDF"
15,The Sydney Coordinated Adaptive Traffic System Philosophy and Benefits,publisher paywalled or no verified public copy,,,0,DOI=10.1109/T-VT.1980.23833 | https://doi.org/10.1109/t-vt.1980.23833 -> HTML without matching downloadable PDF | http://xplorestaging.ieee.org/ielx5/25/34047/01622746.pdf?arnumber=1622746 -> HTML without matching downloadable PDF | http://ieeexplore.ieee.org/document/1622746/ -> HTML without matching downloadable PDF | https://doi.org/10.1109/T-VT.1980.23833 -> HTML without matching downloadable PDF
16,Lane-Based Saturation Degree Estimation for Signalized Intersections Using Travel Time Data,publisher paywalled or no verified public copy,,,0,DOI=10.1109/MITS.2017.2709881 | https://doi.org/10.1109/mits.2017.2709881 -> HTML without matching downloadable PDF | http://xplorestaging.ieee.org/ielx7/5117645/7990605/07990636.pdf?arnumber=7990636 -> HTML without matching downloadable PDF | http://ieeexplore.ieee.org/document/7990636/ -> HTML without matching downloadable PDF | https://doi.org/10.1109/MITS.2017.2709881 -> HTML without matching downloadable PDF
17,A Multivariable Regulator Approach to Traffic-Responsive Network-Wide Signal Control,not downloaded,,,0,"DOI=10.1016/S0967-0661(01)00121-6 | https://citeseerx.ist.psu.edu/document?doi=294f2a0643a943853213634e7a9cb9e4c88595e8&repid=rep1&type=pdf -> HTML without matching downloadable PDF | http://citeseerx.ist.psu.edu/document?doi=294f2a0643a943853213634e7a9cb9e4c88595e8&repid=rep1&type=pdf -> HTML without matching downloadable PDF | http://infoscience.epfl.ch/record/177189 -> HTML without matching downloadable PDF | https://doi.org/10.1016/s0967-0661(01)00121-6 -> HTML without matching downloadable PDF | http://eprints.gla.ac.uk/81372/ -> HTML without matching downloadable PDF | https://infoscience.epfl.ch/handle/20.500.14299/80487 -> HTML without matching downloadable PDF | https://api.elsevier.com/content/article/PII:S0967066101001216?httpAccept=text/xml -> Not PDF (1843 bytes) | https://api.elsevier.com/content/article/PII:S0967066101001216?httpAccept=text/plain -> curl: (22) The requested URL returned error: 400
curl: (22) The requested URL returned error: 400
curl: (22) The requested URL returned error: 400
curl: (22) The requested URL returned error: 400
curl: (22) The requested URL returned error: 400
curl: (22) The requested URL returned error: 400
curl: (22) The requested URL returned error: 400
curl: (22) The requested URL returned error: 400 | https://linkinghub.elsevier.com/retrieve/pii/S0967066101001216 -> HTML without matching downloadable PDF | https://doi.org/10.1016/S0967-0661(01)00121-6 -> HTML without matching downloadable PDF"
18,Optimizing Networks of Traffic Signals in Real Time: The SCOOT Method,publisher paywalled or no verified public copy,,,0,DOI=10.1109/25.69966 | https://doi.org/10.1109/25.69966 -> HTML without matching downloadable PDF | http://xplorestaging.ieee.org/ielx1/25/2453/00069966.pdf?arnumber=69966 -> HTML without matching downloadable PDF | http://ieeexplore.ieee.org/document/69966/ -> HTML without matching downloadable PDF
20,A Comparison of Deep Reinforcement Learning Models for Isolated Traffic Signal Control,publisher paywalled or no verified public copy,,,0,DOI=10.1109/MITS.2022.3144797 | https://doi.org/10.1109/mits.2022.3144797 -> HTML without matching downloadable PDF | http://xplorestaging.ieee.org/ielx7/5117645/10015073/09712430.pdf?arnumber=9712430 -> HTML without matching downloadable PDF | https://ieeexplore.ieee.org/document/9712430/ -> HTML without matching downloadable PDF | https://doi.org/10.1109/MITS.2022.3144797 -> HTML without matching downloadable PDF
